Genome_name	GC%
GCA_000345945.2_ASM34594v2_genomic.fna	39.257834513512854
genomic.gff	0
GCA_000149125.2_ASM14912v1_genomic.fna	32.65168772002485
GCA_000759055.1_04_NF40_HMP2129v01_genomic.fna	59.57114257242636
GCA_000174715.1_ASM17471v1_genomic.fna	40.05700238496625
GCA_000195655.1_ASM19565v1_genomic.fna	57.29798714739574
GCA_000235485.1_ASM23548v1_genomic.fna	41.18236418709282
GCA_000273585.1_PB_Euba_sp_3_1_31_V1_genomic.fna	37.8872234598141
GCA_000238075.1_Oribacterium_sp_ACB7_V1_genomic.fna	43.32253229378297
GCA_000758905.1_04_NF_x40_HMP1635v01_genomic.fna	38.85850703230243
GCA_001553335.1_ASM155333v1_genomic.fna	38.63467761877627
GCA_001546445.1_ASM154644v1_genomic.fna	42.48004821252848
GCA_000186185.1_Achr_xylo_C54_V2_genomic.fna	67.40190451921781
GCA_001813115.1_ASM181311v1_genomic.fna	47.022325990231515
GCA_001837495.1_ASM183749v1_genomic.fna	32.59515814762193
GCA_000469565.1_ASM46956v1_genomic.fna	54.77842645575257
GCA_000154105.1_ASM15410v1_genomic.fna	45.30344592144592
GCA_001807045.1_ASM180704v1_genomic.fna	58.683081407255045
GCA_001812735.1_ASM181273v1_genomic.fna	49.08062671490717
GCA_001809455.1_ASM180945v1_genomic.fna	58.71790685051545
GCA_001806915.1_ASM180691v1_genomic.fna	37.814414778149754
GCA_000155855.1_ASM15585v1_genomic.fna	41.930196600525
GCA_001810405.1_ASM181040v1_genomic.fna	32.58808992713835
GCA_000224595.1_Prevotella_sp_C561_V1_genomic.fna	41.829315155129834
GCA_001811225.1_ASM181122v1_genomic.fna	66.46979887100811
GCA_001808785.1_ASM180878v1_genomic.fna	39.498165816339984
GCA_001836835.1_ASM183683v1_genomic.fna	33.66013788609124
GCA_000295455.2_ASM29545v2_genomic.fna	37.73656970010209
GCA_000364865.1_ASM36486v1_genomic.fna	61.488022493416416
GCA_000227275.1_Neisseria_sp_GT4A_CT1_V1_genomic.fna	51.02876795678499
GCA_000186685.1_ASM18668v1_genomic.fna	70.63966835778052
GCA_001836045.1_ASM183604v1_genomic.fna	37.69550456401667
GCA_000192225.1_ASM19222v1_genomic.fna	36.66510665251895
GCA_000157995.1_ASM15799v1_genomic.fna	50.18498874135885
GCA_001813965.1_ASM181396v1_genomic.fna	62.011726729951654
GCA_001808575.1_ASM180857v1_genomic.fna	35.33583628262278
GCA_000156535.1_ASM15653v1_genomic.fna	42.63447984614243
GCA_001837915.1_ASM183791v1_genomic.fna	31.95799195920616
GCA_000188295.1_ASM18829v1_genomic.fna	39.606005484212524
GCA_001808085.1_ASM180808v1_genomic.fna	31.442719341028557
GCA_001839275.1_ASM183927v1_genomic.fna	32.65394509508276
GCA_000185665.1_ASM18566v1_genomic.fna	60.100248351403074
GCA_000295355.2_ASM29535v2_genomic.fna	37.71479405281301
GCA_000235905.1_ASM23590v1_genomic.fna	28.28166149103599
GCA_000318355.2_ASM31835v2_genomic.fna	38.977205272767804
GCA_000179115.1_ASM17911v1_genomic.fna	50.761272957004735
GCA_000293015.1_SspCM382v1.0_genomic.fna	61.97123655520954
GCA_000213535.1_ASM21353v1_genomic.fna	46.774345866340674
GCA_001552895.1_ASM155289v1_genomic.fna	26.17163938159966
GCA_000175635.1_ASM17563v1_genomic.fna	60.01199700369985
GCA_000315445.1_Allo_otit_ATCC_51267_V1_genomic.fna	44.60157080271023
GCA_000174015.1_ASM17401v1_genomic.fna	49.262278399130295
GCA_001814565.1_ASM181456v1_genomic.fna	33.650075779530134
GCA_001815345.1_ASM181534v1_genomic.fna	32.62260354945587
GCA_000257705.1_EsaburreumF0468v1.0_genomic.fna	36.41931292748479
GCA_001814095.1_ASM181409v1_genomic.fna	49.21447706849238
GCA_000163455.1_ASM16345v1_genomic.fna	57.22452903516129
GCA_000234055.1_Prev_hist_F0411_V1_genomic.fna	41.180729594325044
GCA_000162275.1_ASM16227v1_genomic.fna	45.17791033770997
GCA_001810275.1_ASM181027v1_genomic.fna	32.69803743224309
